,cw_Very worried,cw_Somewhat worried,cw_Not very worried,cw_Not at all worried,cw_Refused,hp_A great deal,hp_A moderate amount,hp_Only a little,hp_Not at all,hp_Don’t know,hp_Refused
Albania,41.8423664874953,39.8377508200205,9.84071759266373,6.03452739638713,2.44463770343341,23.8993371397886,28.5860438499229,12.2091998333253,4.59343582353182,27.8001119259281,2.91187142750321
Algeria,34.5748320069082,31.3527869195422,14.5499880948154,16.9324671327524,2.58992584598173,27.3055590084536,24.176197728416,11.6174168734245,8.07256862035454,26.7349832852827,2.09327448406871
Angola,54.7238184434029,19.4416858356344,14.9336937657006,7.29128104062966,3.60952091463244,50.2219890840448,20.7977360682095,11.1759906180752,5.23968533725897,12.4118609233448,0.152737969066739
Argentina,50.3782947744279,34.2163949404269,9.10025939001048,5.24461312323176,1.06043777190294,39.0903040570701,28.4477153400714,12.9230705530903,6.38424099243391,12.2968320466549,0.857837010679357
Armenia,35.5607220945441,37.1443155988603,16.8900860062518,10.2604442957886,0.144432004555171,15.547601109412,28.1356143398931,22.5574472422549,9.42963833837722,24.0280515261087,0.301647443953976
Asian & Pacific Islands,58.9706929642512,23.108183306359,11.3320936791951,5.13779862864157,1.45123142155308,44.9433317552571,22.451225940927,12.0038682633721,2.91029603451837,17.0555463677578,0.635731638167536
Australia,33.6403860495384,39.3510430892312,17.7028466102713,9.17793305006496,0.127791200894182,21.1707015240128,33.4080718763798,21.6057024995482,14.7919412905578,8.85662652429568,0.166956285205756
Austria,37.326636995481,41.9982371859206,15.6613794465395,4.64171152930385,0.37203484275505,24.6572613783343,37.8576194577074,22.7129215003337,5.16518156815509,9.58889552690187,0.0181205685676591
Azerbaijan,37.3242894579139,39.2023820852172,11.0314231709797,11.8353331761268,0.606572109762399,16.8127519778315,34.8113079836637,13.6151140413758,11.539811593556,23.2210144035729,
Bangladesh,45.8592541489491,26.8195647212834,15.4152816137099,6.59528991508696,5.3106096009705,45.8492922935373,21.9564400859144,6.85706782760304,4.10598239200954,18.0557106988406,3.17550670209511
Belgium,25.8773405501329,43.8570477445492,24.4536987124006,5.81191299291725,,16.0562313270447,35.3833728700554,33.2431755644737,4.51761670734608,10.3322025631101,0.467400967970075
